title,artist,youtube_url,video_id,status,stems,has_chords,has_gp,processing_seconds
Purple Haze,Jimi Hendrix,https://www.youtube.com/watch?v=WGoDaYjdfSg,WGoDaYjdfSg,dry_run,,,,
Hey Joe,Jimi Hendrix,https://www.youtube.com/watch?v=rXwMrBb2x1Q,rXwMrBb2x1Q,dry_run,,,,
All Along the Watchtower,Jimi Hendrix,https://www.youtube.com/watch?v=TLV4_xaYynY,TLV4_xaYynY,dry_run,,,,
Little Wing,Jimi Hendrix,https://www.youtube.com/watch?v=35luFxHO5E0,35luFxHO5E0,dry_run,,,,
Voodoo Child (Slight Return),Jimi Hendrix,https://www.youtube.com/watch?v=L7UMubmfbH0,L7UMubmfbH0,dry_run,,,,
The Wind Cries Mary,Jimi Hendrix,https://www.youtube.com/watch?v=Z7K5VCCdOEM,Z7K5VCCdOEM,dry_run,,,,
Bold as Love,Jimi Hendrix,https://www.youtube.com/watch?v=ZYxfOxjswxc,ZYxfOxjswxc,dry_run,,,,
Castles Made of Sand,Jimi Hendrix,https://www.youtube.com/watch?v=ksZTYRqr444,ksZTYRqr444,dry_run,,,,
Stairway to Heaven,Led Zeppelin,https://www.youtube.com/watch?v=QkF3oxziUI4,QkF3oxziUI4,dry_run,,,,
Whole Lotta Love,Led Zeppelin,https://www.youtube.com/watch?v=HibBnC6SVk8,HibBnC6SVk8,dry_run,,,,
Purple Haze,Jimi Hendrix,https://www.youtube.com/watch?v=WGoDaYjdfSg,WGoDaYjdfSg,failed,0,False,False,10.0
Purple Haze,Jimi Hendrix,https://www.youtube.com/watch?v=WGoDaYjdfSg,WGoDaYjdfSg,completed,"{'bass': '/Users/jeffkozelski/stemscribe/outputs/e5eff369-2d15-4f97-bcc8-077f715af754/stems/bass.mp3', 'drums': '/Users/jeffkozelski/stemscribe/outputs/e5eff369-2d15-4f97-bcc8-077f715af754/stems/drums.mp3', 'guitar': '/Users/jeffkozelski/stemscribe/outputs/e5eff369-2d15-4f97-bcc8-077f715af754/stems/guitar.mp3', 'other': '/Users/jeffkozelski/stemscribe/outputs/e5eff369-2d15-4f97-bcc8-077f715af754/stems/other.mp3', 'piano': '/Users/jeffkozelski/stemscribe/outputs/e5eff369-2d15-4f97-bcc8-077f715af754/stems/piano.mp3', 'vocals': '/Users/jeffkozelski/stemscribe/outputs/e5eff369-2d15-4f97-bcc8-077f715af754/stems/vocals.mp3'}",False,False,304.1
Hey Joe,Jimi Hendrix,https://www.youtube.com/watch?v=rXwMrBb2x1Q,rXwMrBb2x1Q,completed,"{'bass': '/Users/jeffkozelski/stemscribe/outputs/9bba7860-e593-403b-a05f-2c5b2abbf197/stems/bass.mp3', 'drums': '/Users/jeffkozelski/stemscribe/outputs/9bba7860-e593-403b-a05f-2c5b2abbf197/stems/drums.mp3', 'guitar': '/Users/jeffkozelski/stemscribe/outputs/9bba7860-e593-403b-a05f-2c5b2abbf197/stems/guitar.mp3', 'other': '/Users/jeffkozelski/stemscribe/outputs/9bba7860-e593-403b-a05f-2c5b2abbf197/stems/other.mp3', 'piano': '/Users/jeffkozelski/stemscribe/outputs/9bba7860-e593-403b-a05f-2c5b2abbf197/stems/piano.mp3', 'vocals': '/Users/jeffkozelski/stemscribe/outputs/9bba7860-e593-403b-a05f-2c5b2abbf197/stems/vocals.mp3'}",False,False,344.6
All Along the Watchtower,Jimi Hendrix,https://www.youtube.com/watch?v=TLV4_xaYynY,TLV4_xaYynY,completed,"{'bass': '/Users/jeffkozelski/stemscribe/outputs/1b697210-50f6-492a-81a5-4af3a130a97e/stems/bass.mp3', 'drums': '/Users/jeffkozelski/stemscribe/outputs/1b697210-50f6-492a-81a5-4af3a130a97e/stems/drums.mp3', 'guitar': '/Users/jeffkozelski/stemscribe/outputs/1b697210-50f6-492a-81a5-4af3a130a97e/stems/guitar.mp3', 'other': '/Users/jeffkozelski/stemscribe/outputs/1b697210-50f6-492a-81a5-4af3a130a97e/stems/other.mp3', 'piano': '/Users/jeffkozelski/stemscribe/outputs/1b697210-50f6-492a-81a5-4af3a130a97e/stems/piano.mp3', 'vocals': '/Users/jeffkozelski/stemscribe/outputs/1b697210-50f6-492a-81a5-4af3a130a97e/stems/vocals.mp3'}",False,False,472.6
